Unnamed: 0,Name,Type 1,Type 2,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary,Evolution
335,sdv-pii-cdiju,Ground,Poison,128,101,57,97,50,106,6,False,1.0
336,sdv-pii-kx61s,Normal,,80,59,54,23,131,86,5,False,3.0
337,sdv-pii-fgrxa,Normal,,104,190,83,57,50,105,1,True,0.0
338,sdv-pii-ewjah,Rock,Flying,42,66,70,28,52,66,4,False,5.0
339,sdv-pii-5yglo,Steel,,57,76,82,76,32,89,1,False,2.0
340,sdv-pii-6809w,Normal,Grass,110,39,56,14,73,130,2,False,2.0
341,sdv-pii-wq73x,Psychic,Fairy,54,99,52,24,140,149,4,False,1.0
342,sdv-pii-rufdq,Psychic,,79,44,49,50,136,105,3,False,0.0
343,sdv-pii-knua9,Dragon,Flying,41,55,82,69,69,132,4,False,0.0
344,sdv-pii-3m8dx,Grass,Grass,84,101,113,10,112,116,6,False,2.0
345,sdv-pii-gnz3s,Bug,Water,104,98,95,141,152,125,6,True,5.0
346,sdv-pii-rtl5j,Water,Dragon,56,43,5,62,56,48,3,False,0.0
347,sdv-pii-jvp32,Poison,Psychic,84,73,153,149,86,125,3,False,2.0
348,sdv-pii-w94mi,Fire,Psychic,82,5,78,70,110,128,1,False,1.0
349,sdv-pii-ykx0c,Normal,Fighting,73,40,48,95,85,114,3,False,2.0
350,sdv-pii-r63by,Psychic,Steel,99,190,44,10,85,71,3,True,3.0
351,sdv-pii-ir6pr,Dark,Poison,59,94,140,75,69,80,6,False,0.0
352,sdv-pii-qghgw,Rock,,31,73,56,25,26,86,4,True,0.0
353,sdv-pii-4yfzl,Electric,,46,172,5,19,36,94,1,False,1.0
354,sdv-pii-nhvxy,Steel,Psychic,57,177,220,125,91,104,4,True,
355,sdv-pii-8de5l,Dragon,Fairy,77,163,57,10,31,118,2,False,1.0
356,sdv-pii-rakbb,Normal,Fighting,90,134,56,43,43,30,3,False,0.0
357,sdv-pii-t1x9l,Bug,,52,57,33,59,45,115,2,False,1.0
358,sdv-pii-9l1jg,Fire,Rock,161,124,80,58,78,62,1,False,2.0
359,sdv-pii-9wkhx,Rock,Electric,67,6,53,67,163,146,3,False,1.0
360,sdv-pii-8cski,Normal,Flying,132,120,129,67,125,111,3,False,
361,sdv-pii-1abfg,Rock,Fairy,57,94,81,98,71,129,4,False,1.0
362,sdv-pii-1mnjf,Ghost,,60,72,67,53,47,67,1,False,1.0
363,sdv-pii-xoag9,Ghost,,64,123,46,75,30,44,3,False,1.0
364,sdv-pii-zg7h1,Dragon,Water,34,141,75,28,40,90,3,False,2.0
365,sdv-pii-89snb,Dragon,,40,186,37,27,55,52,2,False,2.0
366,sdv-pii-wfbij,Water,,29,40,54,34,39,5,5,False,1.0
367,sdv-pii-0ru2y,Ghost,Ground,54,82,82,76,48,82,6,False,1.0
368,sdv-pii-zu6c1,Fire,,56,41,6,37,75,120,6,False,3.0
369,sdv-pii-qyg3d,Psychic,Steel,51,18,74,10,53,148,1,False,2.0
370,sdv-pii-847ue,Bug,,48,157,163,41,78,74,3,False,3.0
371,sdv-pii-htbwi,Dark,Dark,78,135,57,69,35,123,2,False,3.0
372,sdv-pii-ul7tp,Grass,Ice,85,158,75,89,137,136,3,False,2.0
373,sdv-pii-tx9ap,Fire,Ground,81,29,115,100,57,124,6,False,2.0
374,sdv-pii-hkzt4,Dark,Fairy,64,110,86,72,76,96,1,False,0.0
375,sdv-pii-jfie6,Normal,Fighting,86,190,58,10,145,86,6,False,0.0
376,sdv-pii-uce96,Grass,Psychic,86,72,118,38,108,100,3,False,0.0
377,sdv-pii-v8prg,Normal,Fairy,69,110,42,86,153,89,3,False,5.0
378,sdv-pii-yj5aa,Water,Rock,67,5,36,56,65,116,5,False,2.0
379,sdv-pii-fxmpg,Dark,Ghost,81,127,101,26,74,86,6,False,5.0
380,sdv-pii-il924,Electric,Steel,108,125,118,64,20,86,1,False,2.0
381,sdv-pii-kwqbj,Ghost,Dragon,48,182,119,31,133,67,1,False,0.0
382,sdv-pii-cu42l,Fairy,,53,66,40,101,37,101,3,True,0.0
383,sdv-pii-ynsns,Bug,Dragon,40,151,116,57,71,145,3,False,1.0
384,sdv-pii-69st7,Fighting,Poison,15,55,90,93,102,106,5,False,2.0
385,sdv-pii-yz6k3,Bug,Grass,39,54,152,19,87,128,6,True,0.0
386,sdv-pii-x498z,Water,Rock,52,125,47,42,20,75,3,False,2.0
387,sdv-pii-kyqqn,Electric,Dark,38,58,108,124,30,112,4,False,0.0
388,sdv-pii-z6jwl,Rock,Ground,26,19,30,79,36,137,2,False,1.0
389,sdv-pii-j1x14,Poison,,45,8,100,165,20,133,5,False,0.0
390,sdv-pii-m0zc0,Poison,,51,62,102,65,20,101,3,False,0.0
391,sdv-pii-tpkbi,Water,,87,173,96,23,48,84,3,True,1.0
392,sdv-pii-xomsz,Flying,Ground,31,22,69,105,64,110,1,False,
393,sdv-pii-tgdfw,Rock,Fire,70,93,72,45,68,85,3,True,3.0
394,sdv-pii-pzzka,Ground,Flying,70,77,110,92,81,106,6,False,2.0
395,sdv-pii-hy2cg,Ice,,67,5,86,59,104,100,4,False,0.0
396,sdv-pii-dhj9e,Dark,,72,30,127,159,33,78,1,False,2.0
397,sdv-pii-gd0b1,Bug,,126,91,93,38,40,73,1,False,2.0
398,sdv-pii-0i08g,Dark,,138,89,90,56,99,101,1,False,1.0
399,sdv-pii-q5cx9,Normal,,42,56,86,99,63,89,6,False,2.0
